;job_title;job_type;location;median_salary
94;electrical engineer;Full Time;Budd Lake, NJ 07828;79200.0
102;customer service representative parttime  csr;Part Time;Lansing, MI 48911;78720.0
106;korean translator;Full Time;Los Angeles, CA 90045;52000.0
109;project manager;Full Time;Tracy, CA 95376;52000.0
110;writer  aspiring to havecareer;Full Time;Fort Myers, FL 33901;58560.0
111;genesys developer;Full Time;Clutch City, TX 77002;110400.0
112;service writercoordinator  marine;Full Time;Dania, FL 33004;58560.0
113;temporary student paraprofessional;Full Time;West Palm Beach, FL 33431;58560.0
114;event promotions marketing  advertising  public relations;Full Time;Houston, TX 77057;71040.0
116;service manager;Full Time;Denver, CO 80216;74880.0
117;controls engineer  automation vision systems;Full Time;Sacramento, CA 95811;211200.0
118;managing director;Full Time;Greenwood Village, CO 80111;74880.0
120;technical writer;Full Time;Long Island City, NY 11101;76800.0
121;maintenance mechanic;Full Time;Willoughby Hills, OH 44092;37440.0
122;lead teacher;Full Time;Houston, TX 77089;71040.0
124;lead test engineer;Full Time;Monroe, LA 71203;91200.0
125;bilingual music specialist;Full Time;Santa Monica, CA 90403;52000.0
127;plastics engineer  plastic enclosureinjection moldedelectronics;Full Time;Fort Wayne, IN 46801;168000.0
130;it contract analyst;Full Time;Denver, CO 80202;74880.0
131;configuration manager;Full Time;Taylor, TX 76574;71040.0
137;mechanicalmachine designer;Full Time;Nashville, TN 37203;49920.0
144;software education course designer;Full Time;Houston, TX 77040;71040.0
147;support agent  gps systems;Full Time;Racine, WI 53404;43200.0
148;content coordinator;Full Time;Orlando, FL 32821;58560.0
149;administrative assistant;Full Time;Nashville, TN 37214;35520.0
153;technical writer;Full Time;Austin, TX 78756;71040.0
154;entry level administrative assistant with opportunity for growth;Full Time;Denver, CO 80202;45000.0
157;field project managerestimator;Full Time;Houston, TX 77064;71040.0
158;estimatorengineering manager;Full Time;Gilberton, PA 17934;72000.0
161;account executive;Full Time;Denver, CO 80231;74880.0
162;editorsenior editor;Full Time;New York, NY 10013;76800.0
164;project engineering;Full Time;New Brunswick, NJ 08901;79200.0
166;sba business development officer;Full Time;Englewood, CO 80112;81600.0
167;electronics engineer;Full Time;Glendale, OH 45246;73920.0
169;technical writer;Full Time;Raritan, NJ 08869;79200.0
170;construction superintendent;Full Time;Greenwood Village, CO 80111;74880.0
172;territory account manager;Full Time;Denver, CO 80201;74880.0
176;project estimator  roof maintenance  leak repair;Full Time;Houston, TX 77040;71040.0
177;technical training developer;Full Time;Round Rock, TX 78682;71040.0
178;editorial;Full Time Intern;New York, NY 10013;76800.0
179;facilities automation monitoring manager;Full Time;Youngstown, OH 44515;73920.0
180;construction project engineer;Full Time;Denver, CO 80019;74880.0
183;process engineer;Full Time;Auburn, IN 46706;83520.0
184;security support;Full Time;Houston, TX 77056;71040.0
185;technical support engineer;Full Time;Cambridge, MA 02139;100800.0
186;technical services representative;Full Time;Wylie, TX 75098;71040.0
191;ux strategist;Full Time;Dunwoody, GA 00000;28800.0
194;electrical engineer and substation technician;Full Time;Hope, AR 71802;43200.0
196;general sales manager;Full Time;Wheat Ridge, CO 80002;74880.0
197;director of social media;Full Time;Newark, NJ 07104;79200.0
199;editorial director of business;Full Time;New York, NY 10013;76800.0
202;resident engineer;Full Time;Sunnyvale, CA 94089;52000.0
203;maintenance tech;Full Time;Aurora, CO 80011;74880.0
204;senior accountantanalyst;Full Time;Denver, CO 80202;148800.0
206;development operations container engineer;Full Time;Denver, CO 80202;74880.0
209;commercial litigation paralegal;Full Time;Englewood, CO 80112;74880.0
210;proposal writer;nan;Alexandria, VA 22314;115200.0
213;designer  circuit  pcb;Full Time;Richland, MI 49083;78720.0
215;supplier quality engineer with medical device;Full Time;Plymouth, MN 55442;72000.0
218;documentation control specialist  medical deviceengineering  design documentsecneco;Full Time;San Jose, CA 95138;37440.0
223;medical writer;Full Time;Fort Washington, PA 19034;72000.0
225;property manager;Full Time;Denver, CO 80237;74880.0
226;engineer;Full Time;Hillside, IL 60162;75840.0
227;database architect;Full Time;Denver, CO 80203;136320.0
228;maintenance worker;Full Time;Denver, CO 80229;74880.0
229;housekeeper  chi  st lukes oquinn medical tower;Full Time;Houston, TX 77025;71040.0
231;technical writer;;Frisco, TX 75034;71040.0
239;drafting  documentation coordinator;Full Time;Edison, NJ 08817;79200.0
240;senior tax manager;Full Time;Denver, CO 80202;240000.0
243;consumer underwriter;Full Time;Houston, TX 77072;71040.0
246;structural engineer;Full Time;Ashburn, VA 20147;115200.0
247;desktop publishing specialist;Full Time;Plano, TX 75023;71040.0
250;rn house supervisor  ft;Full Time;Houston, TX 77001;71040.0
252;journal development editor;Full Time;New York, NY 10013;76800.0
255;registered nurse rn  labor  delivery ld ft days ap;Full Time;Houston, TX 77001;71040.0
256;project manager;Full Time;Solon, OH 44139;73920.0
257;business  systems analyst;Full Time;Portland, OR 97201;25440.0
261;assistant professor of;Full Time;St Paul, MN 55101;72000.0
263;student truck driver  earn your cdl  construction  maintenance  manufacturing change your career;nan;Baker City, OR 97814;25440.0
264;student truck driver  earn your cdl  construction  maintenance  manufacturing change your career;nan;Baker City, OR 97814;25440.0
265;k grade counselor;Part Time;Missoula, MT 59801;105600.0
269;desktop technician ii;Full Time;Romeoville, IL 60446;75840.0
273;leading provider for disabilityelderly care services;Full Time;Owensboro, KY 42303;75360.0
281;state tested nursing assistant  stna   sign on bonus;Full Time;Blue Ash, OH 45242;73920.0
282;entry level sales  customer service;;Cincinnati, OH 45241;73920.0
283;hospitality sales specialist;Full Time;Cincinnati, OH 45237;73920.0
284;jr systems administrator travel  expense;Full Time;Clifton, OH 45220;27840.0
285;customer service professionals considercareer assales management trainee;Full Time;Cincinnati, OH 45237;73920.0
286;unit clerk  behavioral health;Full Time;Cincinnati, OH 45213;73920.0
287;estimator;Full Time;Springdale, OH 45246;73920.0
289;licensed practical nurse  lpn;Full Time;Blue Ash, OH 45242;73920.0
290;retail sales associate;nan;Cincinnati, OH 45245;73920.0
292;m warrant officer human;Full Time;Sacramento, CA 95832;52000.0
293;security guard;Full Time;Lancaster, OH 43130;73920.0
295;legal administrative assistant;Full Time;West Des Moines, IA 50266;37440.0
296;security specialists;Full Time;San Diego, CA 92136;52000.0
297;claims operations manager;nan;Dallas, TX 75201;71040.0
306;p cryptologic linguist;Full Time;Portland, OR 97218;25440.0
313;g food service specialist;Full Time;Las Vegas, NV 89115;50000.0
314;project coordinator;Full Time;Norfolk, VA 23513;115200.0
315;retail sales consultant;Full Time;North Las Vegas, NV 89030;50000.0
317;field services delivery helper;nan;North Las Vegas, NV 89030;50000.0
318;sales professional;Full Time;Las Vegas, NV 89101;50000.0
322;manager;Full Time;Saint Louis, MO 63102;72000.0
326;business process analyst;Full Time;Rancho Cordova, CA 95670;52000.0
327;merchandise specialist;Full Time;Minneapolis, MN 55403;32640.0
328;product engineering manager;Full Time;Piscataway, NJ 08854;79200.0
329;cooks;Full Time;Thackerville, OK 73459;62400.0
330;operations managereducation services;Full Time;Vancouver, WA 98660;32640.0
331;business analyst associate;Full Time;San Francisco, CA 94108;52000.0
332;junior marketing manager trainee;Full Time;Las Vegas, NV 89108;50000.0
334;general utility worker dishwasher  baylor medical center at;Full Time;Grapevine, TX 76051;71040.0
335;data entry;;Las Vegas, NV 89146;50000.0
336;up to;Full Time;Irvine, CA 92612;52000.0
339;sales professional;Full Time;Las Vegas, NV 89130;50000.0
341;research engineer  metallurgy;Full Time;Henderson, NV 89015;50000.0
343;director;Full Time;Las Vegas, NV 89119;177600.0
344;direct marketing manager;Full Time;Las Vegas, NV 89130;50000.0
345;sr business analyst;Full Time;Omaha, NE 68124;33600.0
347;software engineer;Full Time;Las Vegas, NV 89119;50000.0
350;desktop technician;Full Time;Las Vegas, NV 89144;36480.0
351;dishwasher  kitchen helper;Part Time;Nashville, TN 37215;35520.0
352;principal java developer;Full Time;Miami, FL 33178;58560.0
356;assistant restaurant manager;Full Time;Monroeville, PA 15140;72000.0
358;data entry clerk  business casual environment;;Las Vegas, NV 89119;50000.0
359;bi with oncology;Full Time;Coral Gables, FL 33143;58560.0
362;marketing  customer service assistant;Full Time;Las Vegas, NV 89130;50000.0
367;entry level managementpaid training;Full Time;San Diego, CA 92121;52000.0
369;business systems analyst;Full Time;Irvine, CA 92618;76800.0
372;entry level marketing and business management development;Full Time;Romeoville, IL 60446;75840.0
373;facilities project manager;Full Time;Pleasant Prairie, WI 53158;43200.0
374;franchised sales manager;Full Time;Bellevue, WA 98007;32640.0
375;general manager;Full Time;Edison, NJ 08817;79200.0
379;controller;Full Time;Las Vegas, NV 89119;144000.0
381;staffing sales recruiter;;Las Vegas, NV 89146;50000.0
383;lead teacher;Full Time;Lake Worth, FL 33463;58560.0
384;hosthostess baylor medical center at;Full Time;Grapevine, TX 76051;71040.0
385;business analyst;Full Time;Oak Brook, IL 60521;75840.0
386;staff accountant;Full Time;Las Vegas, NV 89119;105600.0
387;sales professional;Full Time;Las Vegas, NV 89106;50000.0
388;it asset analyst;Full Time;Mount Laurel, NJ 08054;79200.0
389;production engineer;Full Time;Clinton, TN 37716;35520.0
393;maintenance manager;Full Time;Knoxville, TN 37912;110400.0
394;pleasantree bachelor program coordinator;Full Time;Knoxville, TN 37917;35520.0
395;alterations specialist parttime;Full Time;Knoxville, TN 37919;35520.0
397;data entry;Full Time;Tampa, FL 33602;58560.0
398;financial professional associate;Full Time;Chalfont, PA 18914;72000.0
399;administrative assistant;Full Time;Villanova, PA 19085;72000.0
400;cook  college;Full Time;Bennington, VT 05201;
401;accounts payable specialist;Full Time;San Diego, CA 92122;19200.0
403;dining services supervisor;Full Time;Everett, WA 98208;32640.0
404;accounts payable;Full Time;Boston, MA 02111;37440.0
405;collections analyst;Full Time;La Crosse, WI 54601;43200.0
406;assistant restaurant manager;Full Time;Cupertino, CA 95014;52000.0
407;food service lead worker;Full Time;Crowley, TX 76036;71040.0
408;senior accountant biopharma;Full Time;Cambridge, MA 02139;100800.0
411;accounts payable specialist;Full Time;Grand Rapids, MI 49546;31680.0
413;entry level to management   open positions;Full Time;Jenkintown, PA 19046;72000.0
415;grill cook sinclair community college;Part Time;Dayton, OH 45402;73920.0
417;patient registration specialist float;Full Time;Carmel, IN 46032;83520.0
421;financial professional associate;Full Time;Englewood, CO 80112;74880.0
426;accounts payable clerk;Full Time;Fairhaven, MA 02719;100800.0
427;senior accountant;Full Time;Grand Rapids, MI 49546;44160.0
428;entry level accounts payable specialist;Full Time;Herndon, VA 20170;115200.0
430;credit analyst;Full Time;San Antonio, TX 78258;71040.0
431;general utility worker  theol seminary;Full Time;Princeton, NJ 08540;79200.0
435;territory sales account manager  telecommunications;Full Time;Cherry Hill, NJ 08034;79200.0
437;custom framing specialist;Full Time;Salem, NH 03079;64800.0
442;security  loss prevention supervisor;Full Time;Perris, CA 92570;52000.0
444;security officers;Full Time;Redlands, CA 92373;52000.0
445;telecommunications engineer  circuit designrouting;Full Time;Broomfield, CO 80021;172800.0
449;security officer;Full Time;San Francisco, CA 94119;52000.0
451;telecommunications analyst;Full Time;Bowie, MD 20716;128160.0
463;brand ambassador  entry level marketing telecommunications;Full Time;Yonkers, NY 10704;76800.0
466;security;Full Time;Coraopolis, PA 15108;72000.0
468;campus security officer;Full Time;Seattle, WA 98133;32640.0
471;security guard;Part Time;Houston, TX 77070;71040.0
472;field supervisor security;Full Time;San Francisco, CA 94102;52000.0
473;sheriffs deputycorrections officer  male  female;Full Time;Abilene, TX 79603;57600.0
494;principal;Full Time;Bellevue, WA 98004;32640.0
496;armed security guard;Full Time;Cambridge, OH 43725;73920.0
497;police officer;Full Time;Solon, OH 44139;73920.0
499;firefighterparamedic;Full Time;St. Louis, MO 63131;72000.0
500;armed security officer min yrs experience armed;Full Time;Miami, FL 33161;58560.0
508;account executive;Full Time;Los Angeles, CA 90011;52000.0
512;security officer;Full Time;Orlando, FL 32826;21120.0
517;police;Full Time;Strongsville, OH 44149;73920.0
521;security systems coordinator;Full Time;Berea, KY 40404;75360.0
528;police dispatcher;Part Time;Cottleville, MO 63376;72000.0
536;security specialist;Full Time;Cincinnati, OH 45215;73920.0
545;unarmed security officer northern california;Full Time;Oakland, CA 94601;19200.0
550;corporate security guard;Full Time;Las Vegas, NV 89135;50000.0
551;junior;Full Time;Danville, VA 24541;115200.0
552;security guard;Full Time;Boston, MA 02108;23040.0
553;security officers;Part Time;Sharon, CT 01747;74400.0
558;associate;Full Time;Salem, NH 03079;64800.0
571;manager  loss prevention;Full Time;Dallas, TX 75211;71040.0
578;regional sales manager  mountain region;Full Time;Aurora, CO 80011;74880.0
581;property custodian evidence tech at usms;Full Time;New York, NY 10007;57600.0
582;real estate sales  licensed  leads provided  greater  area;nan;Arlington, TX 76010;71040.0
585;video surveillance officer;Full Time;Bronx, NY 10454;76800.0
595;firefighterparamedic;Full Time;Wooster, OH 44691;73920.0
597;security guards;Full Time;Fremont, CA 94538;52000.0
605;security officer;Full Time;N Springfld, VA 22151;30720.0
608;security guard;Part Time;Wheeling, WV 26003;103200.0
610;security officer oc;Per Diem;Rochester, WA 98579;32640.0
622;collections associate;Full Time;Lakewood, CO 80228;74880.0
626;sales account executive;Full Time;Greenwood Village, CO 80111;74880.0
627;security officer;Full Time;Columbia, MD 21045;41280.0
628;executive assistant to the ceo;Full Time;Norwalk, CT 06850;74400.0
630;alarm technician;Full Time;Saint Paul, MN 55126;72000.0
632;floral specialist;Full Time;Salem, NH 03079;64800.0
634;head of program management office pmo;Full Time;Agoura Hills, CA 91301;52000.0
635;building maintenance technician  up to;Full Time;Englewood, CO 80112;74880.0
636;construction laborer telecom;Full Time;Englewood, CO 80112;74880.0
640;security officer  recruitment event june;Full Time;Saint Petersburg, FL 33701;11520.0
643;director;nan;Broomfield, CO 80021;74880.0
645;firefightermedic;Full Time;Lyndhurst, OH 44124;73920.0
648;security guard;Part Time;Pittsburgh, PA 15219;72000.0
657;senior network test engineer;Full Time;Carrollton, TX 75007;71040.0
658;telecommunications technician;Full Time;Muscatine, IA 52761;37440.0
665;it solutions sales consultant;Full Time;Dallas, TX 75213;71040.0
668;police recruitment;Full Time;Fort Worth, TX 76102;71040.0
671;junior marketing manager  entry level;Full Time;Aurora, CO 80011;74880.0
679;licensed practical nurse lpn;Part Time;Denver, CO 80247;74880.0
681;analyst  telecommunicationsavaya ip phone systemcommunications manager  administrator;Full Time;Houston, TX 77002;57600.0
685;attsa certified traffic control supervisor needed;Full Time;Littleton, CO 80123;74880.0
688;software security engineer;nan;Redlands, CA 92373;52000.0
689;armed security guard;Full Time;Pittsburgh, PA 15222;72000.0
690;operations supervisor;Full Time;Selden, NY 11784;76800.0
725;security officers;Full Time;Moline, IL 61265;75840.0
728;security guard;Part Time;Olympia, WA 98506;32640.0
736;front end specialist;Full Time;Salem, NH 03079;64800.0
743;paint line operator  weekend shift;Full Time;Aurora, CO 80011;74880.0
744;cw financialtreasury risk analyst;Full Time;Coppell, TX 75019;71040.0
746;nurse practitioner paid per visit;Full Time;Greenwood Village, CO 80111;74880.0
750;security;Full Time;Fall River, MA 02721;100800.0
755;security officer;Full Time;Parma, OH 44134;21120.0
763;hr  office coordinator;;Plano, TX 75023;71040.0
764;security officer;Full Time;Palm Bay, FL 32905;23040.0
765;home;Full Time;Centennial, CO 80112;96000.0
767;deputy sheriff;Part Time;Winona, MN 55987;49920.0
770;senior analyst;Full Time;Denver, CO 80202;74880.0
772;field supervisor;Full Time;Greensburg, PA 15601;72000.0
778;collection warrant clerk;Full Time;Mount Pleasant, MI 48858;78720.0
781;licensed practical nurse lpn;Full Time;Denver, CO 80237;74880.0
793;configuration analysis specialist;Full Time;Denver, CO 80201;74880.0
795;retail comanager;Full Time;Plano, TX 75093;71040.0
797;duty officer  hour  overtime;Full Time;Knoxville, TN 37917;35520.0
800;it developer  engineer;Full Time;Plano, TX 75023;71040.0
814;contract implementation manager;Full Time;Centennial, CO 80112;74880.0
815;project engineer;Full Time;Denver, CO 80205;74880.0
816;security officer;Full Time;Port Canaveral, FL 32920;24960.0
819;physical therapist  pt;Full Time;Greenwood Village, CO 80111;74880.0
821;licensed practical nurse lpn;Full Time;Denver, CO 80230;74880.0
824;delivery driver;Full Time;Denver, CO 80012;74880.0
831;special law enforcement officer class ii;Full Time;Delran, NJ 08075;79200.0
835;dock worker fulltime;Full Time;Westminster, CO 80003;74880.0
843;systems architect;Full Time;Plano, TX 75023;71040.0
844;telecommunications engineering;Full Time;New York City, NY 10036;76800.0
847;entry level manager;Full Time;Denver, CO 80226;74880.0
848;alterations specialist parttime;Full Time;Arlington, TX 76018;71040.0
849;optical and ip customer support engineer;Full Time;Richardson, TX 75082;71040.0
869;data analyst;Full Time;New York, NY 10007;49920.0
873;security specialist;Full Time;Cincinnati, OH 45215;73920.0
874;help desk technician ii;Full Time;Coppell, TX 75019;71040.0
885;st moritz security services;;Costa Mesa, CA 92626;52000.0
886;entry level public relations assistant  telecommunications;Full Time;Huntington, NY 11743;76800.0
887;security officer;Full Time;Burlington, MA 01803;24960.0
894;event planning assistant;Full Time;Aurora, CO 80011;74880.0
896;post closing specialist;Full Time;Coppell, TX 75019;71040.0
901;police examinations;Full Time;Chillicothe, IL 61523;75840.0
903;financial service specialist call center;Full Time;Centennial, CO 80111;32640.0
904;security officer;Full Time;Indianapolis, IN 46225;19200.0
908;ups senior accounting associate;nan;Coppell, TX 75019;71040.0
909;security hosthostess  part time;Part Time;Lake Buena Vista, FL 32830;58560.0
919;bilingual spanish it help desk technician;Full Time;Coppell, TX 75019;71040.0
922;police chief;Full Time;Ford Madison, IA 52627;37440.0
925;police chief;Full Time;West Liberty, IA 52776;37440.0
926;entry level sales account manager  telecommunications;Full Time;Columbus, OH 43215;73920.0
928;service manager;Full Time;Denver, CO 80123;74880.0
936;licensed hoa property managers  great opportunity;Full Time;Denver, CO 80228;74880.0
939;leasing consultant;Full Time;Denver, CO 80205;74880.0
941;armed security guard;Full Time;Weirton, WV 26062;103200.0
945;building maintenance technician;Full Time;Englewood, CO 80111;74880.0
962;security;Full Time;Dallas, TX 75201;71040.0
964;director of human resources;Full Time;Aurora, CO 80014;163200.0
970;strategic planning support  sme;Full Time;Dayton, OH 45315;73920.0
974;it telecom admin assistant;Full Time;Arlington, TX 76011;27840.0
976;senior telecommunications technician;Full Time;Miami, FL 33173;127680.0
981;project managercivil engineer  traffic;Full Time;Thornton, CO 80229;74880.0
985;professional protection officer mdt;Full Time;Miami, FL 33161;58560.0
987;assistant general manager;Full Time;Egg Harbor Twp, NJ 08234;79200.0
992;sutter county correctional of;Full Time;Yuba City, CA 95993;52000.0
993;nurse educator  east;Full Time;Denver, CO 80201;74880.0
999;senior proposal coordinator aec;Full Time;Denver, CO 80237;74880.0
1001;desktop;Full Time;Argyle, TX 76226;71040.0
1003;ups fulltime city driver;nan;Commerce City, CO 80022;74880.0
1006;senior corporate recruiter  senior talent acquisition specialist;Full Time;Denver, CO 80123;74880.0
1007;bilingual spanish help desk technician ii;Full Time;Coppell, TX 75019;71040.0
1014;sr civil project managerland development;Full Time;Denver, CO 80237;74880.0
1025;french speaking tierhelp desk technician needed;Full Time;Coppell, TX 75019;71040.0
1037;penske logistics classhr  month;nan;Englewood, CO 80112;74880.0
1040;help desk technician ii;Full Time;Coppell, TX 75019;71040.0
1043;project manager  flooring;Full Time;Denver, CO 80238;86400.0
1047;system center automation engineer;Full Time;Arlington, TX 76014;71040.0
1058;ups package delivery driver;nan;Commerce City, CO 80022;74880.0
1071;bilingual help desk technician french;Full Time;Coppell, TX 75019;71040.0
1083;now hiring journeymen and electricians;Full Time;Englewood, CO 80110;74880.0
1084;route manager;Full Time;Denver, CO 80123;74880.0
1088;sales reps  team leaders needed asap  pd wkly  bonus;Full Time;Plano, TX 75074;71040.0
1089;hr coordinator  downtown   great company;Full Time;Denver, CO 80204;74880.0
1090;exathlete start your sales  marketing career;Full Time;Denver, CO 80215;74880.0
1094;real estate sales  licensed  leads provided  greater  area;nan;Plano, TX 75074;71040.0
1096;jr field manager;Full Time;Denver, CO 80238;26880.0
1103;shuttle driver  classcdl;Full Time;Aurora, CO 80010;1920.0
1105;restaurant manager;Full Time;Englewood, CO 80112;74880.0
1109;account executive;Full Time;West, CO 80202;74880.0
1110;network technician;Full Time;Naples, FL 34108;58560.0
1111;director of;Full Time;Brick, NJ 08723;79200.0
1112;construction project administrator;Full Time;Littleton, CO 80112;74880.0
1113;pc and mac field technicians;;Akron, OH 44310;57600.0
1114;strategic account executive;Full Time;Denver, CO 80237;74880.0
1116;alterations specialist parttime;Full Time;Lewisville, TX 75067;71040.0
1120;team manager;Full Time;Pittsburgh, PA 15222;72000.0
1122;senior business analyst;Full Time;Juno Beach, FL 33408;58560.0
1123;lead software developer;Full Time;Monroe, LA 71203;91200.0
1124;provisioning technician;Full Time;Dublin, OH 43016;73920.0
1125;motion designer;Full Time;San Francisco, CA 94105;52000.0
1127;financial professional associate;Full Time;Englewood, CO 80112;74880.0
1130;senior analytics lead;Full Time;Dallas, TX 75205;71040.0
1134;project manager;Full Time;Minneapolis, MN 55467;72000.0
1136;customer data technician;Full Time;Tucson, AZ 85716;42240.0
1138;program support rep;Full Time;Warren, NJ 07059;79200.0
1142;uiux designer;Full Time;San Francisco, CA 94105;52000.0
1150;senior hris analyst;Full Time;Monroe, LA 71203;91200.0
1152;it project manager  av audio visual;Full Time;Miami, FL 33172;58560.0
1156;sr hris analyst;Full Time;Monroe, LA 71203;91200.0
1159;project management analyst;Full Time;Virginia Beach, VA 23454;115200.0
1164;aem cq developer  architect;Full Time;Dallas, TX 75201;71040.0
1165;customer engineer;Full Time;North Chicago, IL 60064;75840.0
1166;sr oracle developer;Full Time;Birmingham, AL 35202;134400.0
1168;it operations technician;Full Time;Monroe, LA 71203;91200.0
1173;pc and mac field technicians;;Keswick, CA 96001;62400.0
1174;technical writer  mechanicaloperator manualscommercial products;Full Time;Bloomington, MN 55431;67200.0
1176;user tester ux and sales experience;Full Time;Piscataway, NJ 08854;79200.0
1178;technical support  linux;Full Time;Irving, TX 75038;71040.0
1180;devops administrator;Full Time;Charlotte, NC 28201;81600.0
1182;business  systems analyst;Full Time;Los Angeles, CA 90013;52000.0
1184;call center sw support;Full Time;Mchenry, IL 60050;75840.0
1186;sap analyst  project systems lead;Full Time;San Antonio, TX 78248;71040.0
1187;sdet  quality assurance;Full Time;Juno Beach, FL 33408;58560.0
1188;service technician;Part Time;Chesterfield, MO 63017;72000.0
1190;scrum master project manager;Full Time;Philadelphia, PA 19103;72000.0
1192;workday;Full Time;Sunnyvale, CA 94089;52000.0
1196;project coordinators;Full Time;Tampa, FL 33601;42240.0
1198;ms automation and sccm engineer;Full Time;Wilmington, DE 19805;24390.0
1199;bank technical analyst;Full Time;Bloomington, IL 61704;189120.0
1201;lead technical project manager;Full Time;Monroe, LA 71203;91200.0
1203;back end java developer;Full Time;Dallas, TX 75235;71040.0
1205;sr oracle plsql developer;Full Time;Birmingham, AL 35213;134400.0
1207;senior messaging engineeer;Full Time;Germantown, MD 20874;128160.0
1209;transition manager  project management;Full Time;Manhattan, KS 66502;76800.0
1210;sharepoint developer;Full Time;Purchase, NY 10577;76800.0
1212;genius  technical customer service;Full Time;Newport Beach, CA 92660;52000.0
1213;qa  mocking  unit testing;Full Time;Juno Beach, FL 33408;58560.0
1214;field deployment technician;Full Time;Sioux City, IA 51106;38400.0
1216;central office tech;Full Time;Dade City, FL 00000;58560.0
1219;ssis developer;Full Time;Wilmington, DE 19801;24390.0
1224;telecom administrator;nan;Exton, PA 19341;72000.0
1226;scrum master;Full Time;Carmel, IN 46032;83520.0
1231;customer serviceaccount setup specialist;Full Time;Saint Paul, MN 55107;72000.0
1233;broadband technician;Full Time;Minneapolis, MN 55401;72000.0
1235;software and os deployment specialist its;Full Time;Lacey, WA 98503;123840.0
1238;etl developer;Full Time;Cincinnati, OH 45201;73920.0
1242;physical security engineer;Full Time;Miramar, FL 33027;58560.0
1247;senior business analyst erp;Full Time;Mangonia Park, FL 33407;58560.0
1249;lead marketing analyst;Full Time;Monroe, LA 71203;91200.0
1252;ux architect;Full Time;Miami, FL 33132;58560.0
1253;deskside support techlab specialist;Full Time;Indianapolis, IN 46225;83520.0
1256;data conversion programmer;Full Time;University Park, IL 60484;75840.0
1259;operations technician;Full Time;St Paul, MN 55102;72000.0
1260;lead customer service representative;Full Time;Daly City, CA 94014;52000.0
